35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,3
50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,3
30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,3
0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,3
5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,3
47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,3
11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,3
20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,3
0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,3
26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,3
8,77,47,100,100,96,71,66,100,46,99,13,46,0,0,13,3
20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3
38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3
52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,3
2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3
37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3
21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3
46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,3
19,73,54,91,100,100,99,78,86,52,78,26,43,8,0,0,3
36,90,86,100,87,73,47,49,92,44,100,16,53,0,0,1,3
44,80,80,100,100,85,72,59,92,38,93,14,49,3,0,0,3
46,96,80,100,81,76,77,60,100,36,75,12,36,0,0,6,3
52,80,84,100,100,75,58,53,91,48,89,10,44,0,0,16,3
0,82,40,100,80,80,43,53,54,45,100,25,63,0,3,4,3
34,79,66,100,83,72,52,51,100,49,91,13,43,0,0,14,3
33,80,23,100,87,96,97,68,79,44,100,16,44,0,0,22,3
23,76,52,100,100,98,79,71,63,50,82,19,49,0,0,7,3
39,81,72,100,100,77,71,51,95,43,95,16,50,0,0,1,3
11,84,52,100,100,96,83,66,72,50,87,16,45,0,0,11,3
13,78,45,100,97,87,69,58,76,47,100,15,49,0,0,19,3
33,78,66,100,91,86,64,60,100,42,82,10,41,0,0,7,3
5,85,50,100,79,77,54,50,85,44,100,22,56,2,0,0,3
22,83,62,100,92,78,51,53,55,37,100,17,55,0,0,7,3
0,83,37,100,81,90,65,61,100,45,97,15,54,0,14,7,3
40,84,61,100,87,83,53,60,96,47,100,23,55,5,0,0,3
17,82,56,100,100,90,64,66,85,40,94,12,48,3,0,0,3
18,78,53,100,90,81,43,57,90,55,100,22,52,0,0,16,3
35,98,76,100,80,72,67,54,100,34,77,9,35,0,0,7,3
0,83,11,100,56,93,53,67,66,42,100,20,73,1,16,0,3
22,75,47,100,74,82,47,53,84,44,100,17,54,0,0,9,3
12,86,62,100,92,86,54,64,81,46,100,22,62,0,0,5,3
44,83,70,100,93,77,59,50,93,44,100,16,53,0,0,3,3
12,76,47,100,100,98,97,72,52,54,74,30,52,5,0,0,3
12,82,41,100,84,84,54,51,88,43,100,10,50,0,0,6,3
49,86,50,100,100,96,81,66,82,40,87,9,38,0,0,22,3
26,89,64,100,81,82,73,61,100,37,81,11,41,0,0,5,3
42,79,67,100,78,79,71,60,100,39,85,10,41,0,0,14,3
15,90,57,100,82,85,60,62,100,47,86,23,44,8,0,0,3
15,72,47,100,88,89,52,60,75,35,100,7,50,0,0,11,3
22,77,34,100,90,99,65,67,72,56,100,28,58,2,0,0,3
0,90,46,100,100,98,87,76,56,56,74,34,56,12,8,0,3
52,96,84,100,100,79,73,58,84,35,90,11,47,0,0,5,3
19,74,43,100,70,80,53,53,100,42,98,12,50,0,0,4,3
45,79,57,100,100,93,86,66,70,44,87,20,46,6,0,0,3
10,86,51,100,84,78,53,48,85,40,100,14,52,0,0,0,3
29,89,84,100,80,73,36,50,94,38,100,9,41,0,0,17,3
62,77,76,100,95,83,56,58,95,52,100,21,55,2,0,0,3
19,81,53,100,68,79,49,52,95,38,100,9,50,0,0,7,3
9,86,53,100,96,81,64,55,93,48,100,18,51,0,0,11,3
0,84,39,100,79,78,39,55,67,48,100,21,62,0,15,10,3
