47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,8
48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,8
73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,8
61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,8
32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,8
57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,8
100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8
94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,8
0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8
42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8
0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8
100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8
0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8
54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8
58,100,0,89,44,53,100,21,63,0,62,36,87,80,25,91,8
78,85,65,66,100,25,49,0,15,29,58,67,66,100,0,84,8
84,93,20,100,22,50,44,0,0,22,54,59,100,95,27,97,8
95,68,77,100,21,76,60,38,68,0,0,15,29,53,100,81,8
0,67,38,66,62,30,38,0,8,30,45,63,100,90,58,100,8
100,75,95,100,24,81,38,44,69,8,0,0,45,33,96,64,8
100,100,14,90,74,55,79,97,37,62,0,39,36,0,39,44,8
86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99,8
0,68,73,45,100,8,20,0,37,38,92,72,85,100,7,81,8
56,83,28,61,90,23,24,0,22,40,100,72,72,100,0,72,8
76,85,0,100,16,63,81,31,69,0,6,25,34,64,100,95,8
41,53,60,100,100,89,70,42,33,0,72,16,54,62,0,72,8
92,65,50,100,0,82,47,46,87,6,42,0,54,45,100,79,8
9,32,60,62,80,100,6,93,36,56,100,27,57,0,0,25,8
0,78,40,100,97,78,69,39,44,0,100,7,35,37,22,73,8
55,76,22,68,66,29,39,0,52,32,100,68,69,100,0,86,8
24,66,100,89,30,66,88,32,34,0,0,34,61,72,77,100,8
93,100,5,96,42,65,85,32,58,0,0,14,36,47,100,74,8
86,79,47,100,18,62,65,27,66,0,0,3,46,39,100,71,8
86,78,48,100,14,72,19,35,2,0,0,29,49,59,100,88,8
100,100,26,97,1,66,45,33,29,0,0,26,38,61,87,93,8
73,98,0,95,16,60,84,29,70,0,45,35,100,69,88,100,8
100,66,56,100,23,73,77,34,65,0,0,24,55,58,73,77,8
39,76,74,40,83,2,11,0,50,35,100,67,73,100,0,81,8
